,x,y
874,6.794,-22.653
875,5.901,-21.864
876,14.197,-19.174
877,14.315,-22.246
878,12.865,-19.522
879,16.082,-25.227
880,6.498,-22.12
881,11.176,-21.984
882,12.66,-22.118
883,12.716,-22.192
884,6.578,-18.891
885,13.949,-19.124
886,14.067,-22.235
887,12.93,-19.442
888,6.436,-22.083
889,11.986,-22.028
890,12.392,-22.074
891,12.658,-22.114
892,11.778,-22.057
893,13.543,-22.157
894,12.712,-22.11
895,12.884,-22.242
896,13.678,-19.146
897,13.64,-22.205
898,12.883,-19.546
899,-19.832,-22.358
900,12.279,-22.181
901,12.771,-22.211
902,6.563,-22.585
903,12.92,-14.879
904,-22.146,-18.881
905,6.295,-19.487
906,13.618,-19.136
907,13.25,-22.468
908,12.867,-19.533
909,12.416,-22.179
910,5.414,-21.996
911,13.134,-14.87
912,6.285,-19.417
913,6.543,-18.918
914,13.614,-22.207
915,12.703,-22.2
916,11.826,-22.193
917,12.743,-22.227
918,6.513,-22.367
919,10.922,-22.184
920,-1.831,-21.155
921,13.601,-22.205
922,6.537,-15.066
923,6.521,-23.162
924,13.958,-15.208
925,12.684,-22.176
926,12.91,-19.529
927,6.454,-22.004
928,6.552,-18.918
929,12.893,-22.449
930,11.813,-22.151
931,10.03,-22.034
932,9.999,-22.007
933,12.627,-19.533
934,12.4,-22.425
935,6.445,-21.947
936,6.606,-18.725
937,12.667,-22.182
938,11.784,-22.137
939,10.029,-22.026
940,10.039,-22.012
941,11.95,-22.153
942,-1.27,-18.084
943,12.333,-19.511
944,11.797,-22.12
945,6.425,-21.987
946,6.547,-18.821
947,12.229,-19.495
948,12.013,-19.486
949,10.883,-22.129
950,10.896,-19.457
951,10.024,-22.077
952,11.997,-19.484
953,11.545,-22.095
954,6.426,-22.037
955,6.581,-18.775
956,10.893,-19.417
957,9.985,-21.976
958,11.706,-22.102
959,11.829,-15.659
960,10.881,-22.119
961,8.297,-22.757
962,11.723,-22.137
963,11.484,-19.433
964,11.23,-22.063
965,6.378,-21.746
966,6.622,-18.626
967,10.93,-19.382
968,10.043,-21.97
969,11.438,-22.073
970,10.883,-22.039
971,8.274,-22.721
972,-1.37,-17.953
973,10.8,-22.078
974,9.911,-21.999
975,11.667,-22.124
976,6.905,-14.707
977,11.222,-19.415
978,10.892,-22.033
979,6.387,-21.784
980,6.622,-18.623
981,10.891,-19.4
982,11.163,-22.056
983,8.269,-22.711
984,6.598,-18.645
985,8.272,-23.36
986,10.728,-19.38
987,10.544,-22.008
988,6.376,-21.88
989,6.59,-18.685
990,8.366,-22.909
991,9.889,-21.995
992,11.161,-19.347
993,6.348,-18.995
994,10.334,-19.36
995,10.107,-21.984
996,6.353,-21.837
997,6.568,-18.701
998,7.945,-23.067
999,6.344,-21.837
1000,-2.664,-19.755
1001,4.375,-19.072
1002,6.487,-23.488
1003,6.227,-23.407
1004,-1.409,-18.151
1005,9.975,-19.336
1006,9.902,-21.99
1007,6.357,-21.826
1008,6.547,-18.708
1009,8.164,-22.772
1010,6.398,-23.447
1011,-1.422,-18.149
1012,9.849,-19.345
1013,6.803,-14.766
1014,10.493,-15.612
1015,8.214,-22.74
1016,9.056,-23.672
1017,6.348,-26.122
1018,6.939,-23.5
1019,4.382,-19.002
1020,9.124,-23.613
1021,9.652,-19.33
1022,9.83,-22.268
1023,6.33,-21.893
1024,6.617,-18.536
1025,8.351,-22.833
1026,6.47,-23.454
1027,9.527,-19.329
1028,6.822,-14.745
1029,9.876,-22.255
1030,7.14,-23.411
1031,9.384,-19.33
1032,9.034,-23.496
1033,9.854,-19.347
1034,9.18,-19.312
1035,6.349,-21.801
1036,6.627,-18.676
1037,8.29,-22.771
1038,6.954,-14.734
1039,9.037,-23.559
1040,7.198,-23.434
1041,6.4,-18.946
1042,9.582,-15.567
1043,-17.594,-18.129
1044,-1.367,-18.136
1045,6.363,-21.799
1046,6.671,-18.651
1047,8.312,-22.875
1048,7.014,-14.726
1049,8.983,-23.579
1050,6.412,-18.922
1051,9.723,-15.577
1052,-1.305,-17.972
1053,9.175,-19.308
1054,6.231,-23.322
1055,8.959,-23.595
1056,7.189,-23.398
1057,4.441,-18.943
1058,8.228,-22.782
1059,8.015,-13.198
1060,6.321,-21.822
1061,6.403,-18.938
1062,8.267,-22.767
1063,7.077,-14.708
1064,8.981,-14.598
1065,-1.282,-17.992
1066,7.18,-23.401
1067,4.421,-19.076
1068,6.652,-18.673
1069,6.42,-18.877
1070,6.34,-23.439
1071,8.285,-22.777
1072,6.21,-23.394
1073,6.308,-21.815
1074,6.44,-18.939
1075,7.959,-23.045
1076,7.001,-14.735
1077,8.87,-14.603
1078,-1.341,-18.148
1079,6.057,-25.842
1080,4.429,-19.074
1081,8.264,-22.776
1082,7.821,-13.223
1083,6.595,-18.71
1084,7.235,-23.439
1085,-17.56,-17.982
1086,6.205,-23.37
1087,6.262,-21.802
1088,6.372,-18.973
1089,7.528,-23.5
1090,6.888,-14.735
1091,8.633,-14.13
1092,-1.317,-17.978
1093,6.065,-25.841
1094,4.401,-19.043
1095,7.838,-23.059
1096,6.631,-18.699
1097,7.194,-23.445
1098,7.835,-23.05
1099,6.384,-18.965
1100,6.372,-21.824
1101,6.361,-18.957
1102,7.188,-23.432
1103,6.596,-18.693
1104,6.834,-14.749
1105,-1.357,-18.06
1106,4.408,-19.038
1107,7.241,-23.422
1108,4.194,-21.585
1109,7.563,-23.506
1110,6.401,-21.83
1111,6.395,-18.982
1112,6.833,-23.494
1113,6.64,-18.701
1114,5.32,-21.706
1115,7.217,-23.452
1116,4.361,-19.108
1117,-1.439,-18.47
1118,-19.031,-17.324
1119,6.324,-21.821
1120,6.408,-18.988
1121,5.426,-21.732
1122,5.929,-21.812
1123,6.144,-18.989
1124,5.385,-21.717
1125,4.387,-19.12
1126,5.966,-18.976
1127,6.075,-21.812
1128,3.628,-21.538
1129,4.072,-21.565
1130,4.261,-21.784
1131,-1.421,-18.435
1132,5.629,-21.805
1133,5.714,-18.696
1134,5.34,-21.714
1135,4.353,-19.174
1136,5.36,-14.722
1137,-1.407,-18.454
1138,5.929,-18.965
1139,4.701,-14.769
1140,3.677,-21.612
1141,5.112,-21.709
1142,5.728,-14.798
1143,4.33,-19.198
1144,4.672,-14.758
1145,-1.432,-18.489
1146,5.715,-18.669
1147,2.401,-21.698
1148,5.673,-21.834
1149,5.425,-21.749
1150,4.154,-21.616
1151,5.272,-21.732
1152,4.767,-21.713
1153,5.316,-14.683
1154,4.334,-19.234
1155,4.676,-14.763
1156,-1.426,-18.501
1157,2.385,-21.691
1158,4.175,-21.621
1159,3.657,-21.623
1160,3.303,-21.643
