,x,y
598,-4.172,-19.89
599,-4.574,-19.893
600,-4.968,-19.921
601,-5.371,-19.963
602,-5.772,-20.022
603,-6.175,-20.091
604,-6.574,-20.142
605,-6.953,-20.172
606,-7.357,-20.192
607,-7.76,-20.198
608,-8.163,-20.206
609,-8.566,-20.225
610,-8.971,-20.255
611,-9.373,-20.291
612,-9.777,-20.33
613,-10.181,-20.387
614,-10.581,-20.457
615,-10.976,-20.539
616,-11.354,-20.655
617,-11.694,-20.833
618,-12.007,-21.074
619,-12.278,-21.381
620,-12.527,-21.708
621,-12.739,-22.05
622,-12.915,-22.425
623,-13.033,-22.808
624,-13.097,-23.207
625,-13.105,-23.607
626,-13.107,-24.01
627,-13.102,-24.415
628,-13.094,-24.817
629,-13.085,-25.218
630,-13.072,-25.609
631,-13.065,-26.009
632,-13.071,-26.407
633,-13.075,-26.814
634,-13.075,-27.146
635,-13.071,-27.427
636,-13.059,-27.599
637,-13.052,-27.657
638,-13.051,-27.658
639,-13.051,-27.658
640,81.055,-3.578
641,81.055,-3.578
642,81.055,-3.578
643,81.055,-3.578
644,81.055,-3.578
645,81.055,-3.578
646,81.055,-3.578
647,81.055,-3.578
648,81.055,-3.578
649,81.055,-3.578
650,81.055,-3.578
651,81.055,-3.578
652,81.054,-3.593
653,81.052,-3.624
654,81.047,-3.739
655,81.045,-3.869
656,81.068,-4.065
657,81.117,-4.335
658,81.179,-4.688
659,81.245,-5.083
660,81.314,-5.48
661,81.375,-5.88
662,81.407,-6.274
663,81.431,-6.655
664,81.445,-7.04
665,81.46,-7.424
666,81.468,-7.81
667,81.479,-8.193
668,81.492,-8.577
669,81.508,-8.963
670,81.525,-9.355
671,81.542,-9.745
672,81.562,-10.136
673,81.584,-10.53
674,81.612,-10.923
675,81.642,-11.318
676,81.667,-11.711
677,81.689,-12.105
678,81.696,-12.485
679,81.664,-12.891
680,81.63,-13.282
681,81.604,-13.683
682,81.583,-14.085
683,81.563,-14.48
684,81.527,-14.85
685,81.423,-15.214
686,81.269,-15.579
687,81.091,-15.933
688,80.911,-16.287
689,80.733,-16.642
690,80.555,-16.996
691,80.398,-17.312
692,80.303,-17.493
693,80.202,-17.679
694,80.025,-17.963
695,79.922,-18.135
696,79.901,-18.144
697,79.897,-18.154
698,79.891,-18.162
699,79.886,-18.169
700,79.88,-18.177
701,79.875,-18.186
702,79.869,-18.195
703,79.862,-18.206
704,79.857,-18.214
705,79.85,-18.223
706,79.844,-18.232
707,79.839,-18.24
708,79.834,-18.247
709,79.829,-18.255
710,79.821,-18.264
711,79.817,-18.272
712,79.812,-18.279
713,79.808,-18.285
714,79.804,-18.291
715,79.799,-18.298
716,79.794,-18.306
717,79.789,-18.314
718,79.775,-18.335
719,79.728,-18.405
720,79.65,-18.529
721,79.575,-18.68
722,79.497,-18.913
723,79.409,-19.182
724,79.319,-19.481
725,79.212,-19.841
726,79.1,-20.218
727,78.99,-20.597
728,78.885,-20.974
729,78.785,-21.353
730,78.707,-21.739
731,78.631,-22.125
732,78.555,-22.51
733,78.467,-22.894
734,78.376,-23.278
735,78.296,-23.656
736,78.217,-24.041
737,78.147,-24.426
738,78.094,-24.816
739,78.05,-25.205
740,78.008,-25.595
741,77.968,-25.985
742,77.93,-26.375
743,77.898,-26.767
744,77.879,-27.157
745,77.871,-27.55
746,77.857,-27.942
747,77.844,-28.334
748,77.831,-28.727
749,77.822,-29.119
750,77.82,-29.51
751,77.836,-29.902
752,77.86,-30.286
753,77.887,-30.686
754,77.912,-31.078
755,77.918,-31.471
756,77.919,-31.864
757,77.913,-32.248
758,77.893,-32.638
759,77.847,-33.026
760,77.783,-33.412
761,77.707,-33.793
762,77.606,-34.172
763,77.472,-34.537
764,77.319,-34.895
765,77.13,-35.237
766,76.912,-35.559
767,76.681,-35.873
768,76.444,-36.173
769,76.186,-36.462
770,75.893,-36.728
771,75.578,-36.956
772,75.247,-37.148
773,74.886,-37.303
774,74.518,-37.437
775,74.14,-37.542
776,73.751,-37.608
777,73.357,-37.637
778,72.965,-37.636
779,72.572,-37.637
780,72.176,-37.639
781,71.779,-37.652
782,71.38,-37.651
783,70.984,-37.647
784,70.586,-37.655
785,70.199,-37.671
786,69.801,-37.686
787,69.403,-37.699
788,69.006,-37.704
789,68.609,-37.708
790,68.219,-37.724
791,67.823,-37.742
792,67.425,-37.755
793,67.029,-37.756
794,66.624,-37.745
795,66.234,-37.725
796,65.829,-37.708
797,65.439,-37.706
798,65.041,-37.709
799,64.644,-37.713
800,64.248,-37.716
801,63.85,-37.72
802,63.453,-37.725
803,63.072,-37.738
804,62.675,-37.743
805,62.277,-37.748
806,61.882,-37.749
807,61.486,-37.739
808,61.091,-37.736
809,60.698,-37.766
810,60.303,-37.806
811,59.91,-37.853
812,59.527,-37.906
813,59.135,-37.96
814,58.743,-38.012
815,58.352,-38.056
816,57.967,-38.085
817,57.566,-38.116
818,57.178,-38.147
819,56.788,-38.194
820,56.395,-38.24
821,56.005,-38.289
822,55.625,-38.342
823,55.239,-38.408
824,54.859,-38.48
825,54.471,-38.563
826,54.089,-38.656
827,53.713,-38.757
828,53.342,-38.875
829,52.979,-39.019
830,52.631,-39.201
831,52.309,-39.407
832,51.985,-39.631
833,51.667,-39.863
834,51.356,-40.096
835,51.04,-40.337
836,50.729,-40.583
837,50.431,-40.834
838,50.148,-41.104
839,49.873,-41.38
840,49.583,-41.647
841,49.295,-41.916
842,49.01,-42.188
843,48.725,-42.456
844,48.437,-42.722
845,48.148,-42.987
846,47.859,-43.248
847,47.568,-43.502
848,47.292,-43.759
849,47.009,-44.018
850,46.731,-44.295
851,46.456,-44.575
852,46.192,-44.86
853,45.93,-45.151
854,45.657,-45.429
855,45.369,-45.694
856,45.075,-45.944
857,44.794,-46.216
858,44.523,-46.503
859,44.272,-46.798
860,44.008,-47.054
861,43.709,-47.256
862,43.373,-47.4
863,43.009,-47.489
864,42.618,-47.543
865,42.227,-47.582
866,41.833,-47.575
867,41.442,-47.519
868,41.06,-47.453
869,40.671,-47.384
870,40.282,-47.317
871,39.889,-47.248
872,39.497,-47.189
873,39.11,-47.133
874,38.722,-47.088
875,38.336,-47.045
876,37.952,-47.006
877,37.563,-46.96
878,37.185,-46.906
879,36.803,-46.833
880,36.426,-46.745
881,36.044,-46.661
882,35.664,-46.582
883,35.282,-46.513
884,34.902,-46.419
885,34.522,-46.309
886,34.147,-46.19
887,33.798,-46.065
888,33.431,-45.922
889,33.072,-45.764
890,32.72,-45.592
891,32.378,-45.399
892,32.043,-45.206
893,31.709,-44.999
894,31.378,-44.788
895,31.051,-44.577
896,30.736,-44.356
897,30.432,-44.12
898,30.14,-43.867
899,29.85,-43.613
900,29.566,-43.352
901,29.297,-43.079
902,29.041,-42.79
903,28.809,-42.483
904,28.597,-42.16
905,28.423,-41.812
906,28.284,-41.451
907,28.181,-41.079
908,28.134,-40.701
909,28.132,-40.31
910,28.143,-39.923
911,28.145,-39.56
912,28.14,-39.185
913,28.103,-38.8
914,28.029,-38.421
915,27.948,-38.041
916,27.867,-37.661
917,27.788,-37.296
918,27.71,-36.907
919,27.646,-36.532
920,27.594,-36.142
921,27.551,-35.762
922,27.52,-35.388
923,27.497,-34.996
924,27.482,-34.604
925,27.467,-34.214
926,27.45,-33.824
927,27.434,-33.426
928,27.423,-33.028
929,27.417,-32.631
930,27.419,-32.232
931,27.424,-31.831
932,27.427,-31.442
933,27.425,-31.047
934,27.416,-30.648
935,27.406,-30.266
936,27.381,-29.872
937,27.329,-29.484
938,27.274,-29.091
939,27.231,-28.7
940,27.185,-28.312
941,27.106,-27.931
942,26.976,-27.563
943,26.808,-27.203
944,26.604,-26.859
945,26.375,-26.534
946,26.128,-26.22
947,25.856,-25.923
948,25.569,-25.642
949,25.286,-25.356
950,25.005,-25.073
951,24.722,-24.791
952,24.439,-24.515
953,24.142,-24.252
954,23.842,-23.992
955,23.544,-23.736
956,23.245,-23.482
957,22.94,-23.235
958,22.631,-22.991
959,22.327,-22.75
960,22.013,-22.5
961,21.704,-22.253
962,21.405,-22.008
963,21.102,-21.755
964,20.815,-21.498
965,20.537,-21.242
966,20.252,-20.969
967,19.97,-20.692
968,19.693,-20.411
969,19.436,-20.114
970,19.203,-19.806
971,18.99,-19.472
972,18.805,-19.122
973,18.63,-18.764
974,18.469,-18.421
975,18.292,-18.065
976,18.116,-17.71
977,17.939,-17.356
978,17.763,-17.001
979,17.592,-16.646
980,17.424,-16.287
981,17.291,-15.912
982,17.175,-15.531
983,17.074,-15.157
984,17.005,-14.767
985,16.959,-14.375
986,16.933,-13.981
987,16.948,-13.585
988,16.964,-13.182
989,16.984,-12.784
990,17.015,-12.396
991,17.051,-12.002
992,17.078,-11.604
993,17.112,-11.208
994,17.154,-10.816
995,17.186,-10.43
996,17.21,-10.051
997,17.228,-9.655
998,17.244,-9.261
999,17.266,-8.867
1000,17.288,-8.474
1001,17.315,-8.083
1002,17.339,-7.69
1003,17.349,-7.299
1004,17.374,-6.907
1005,17.405,-6.518
1006,17.436,-6.14
1007,17.462,-5.744
1008,17.502,-5.359
1009,17.544,-4.971
1010,17.589,-4.585
1011,17.655,-4.21
1012,17.75,-3.824
1013,17.859,-3.457
1014,18.0,-3.099
1015,18.177,-2.755
1016,18.387,-2.431
1017,18.613,-2.119
1018,18.868,-1.832
1019,19.148,-1.581
1020,19.462,-1.358
1021,19.788,-1.154
1022,20.111,-0.974
1023,20.467,-0.822
1024,20.833,-0.699
1025,21.211,-0.602
1026,21.6,-0.556
1027,22.0,-0.574
1028,22.395,-0.607
1029,22.786,-0.634
1030,23.184,-0.647
1031,23.58,-0.651
1032,23.978,-0.649
1033,24.375,-0.634
1034,24.774,-0.627
1035,25.172,-0.622
1036,25.57,-0.619
1037,25.969,-0.613
1038,26.367,-0.607
1039,26.761,-0.613
1040,27.158,-0.636
1041,27.546,-0.666
1042,27.931,-0.729
1043,28.306,-0.845
1044,28.682,-0.976
1045,29.044,-1.102
1046,29.375,-1.209
1047,29.629,-1.289
1048,29.836,-1.344
1049,30.015,-1.364
1050,30.13,-1.373
1051,30.145,-1.374
1052,30.157,-1.375
1053,30.166,-1.376
1054,30.174,-1.377
1055,30.184,-1.378
1056,30.194,-1.378
1057,30.212,-1.38
1058,30.329,-1.394
1059,30.548,-1.417
1060,30.805,-1.429
1061,31.193,-1.44
1062,31.58,-1.444
1063,31.977,-1.452
1064,32.373,-1.468
1065,32.766,-1.491
1066,33.156,-1.509
1067,33.549,-1.525
1068,33.94,-1.545
1069,34.325,-1.548
1070,34.722,-1.552
1071,35.126,-1.552
1072,35.521,-1.547
1073,35.916,-1.532
1074,36.31,-1.529
1075,36.692,-1.536
1076,37.081,-1.547
1077,37.482,-1.568
1078,37.882,-1.601
1079,38.277,-1.642
1080,38.677,-1.667
1081,39.077,-1.685
1082,39.472,-1.698
1083,39.867,-1.708
1084,40.255,-1.719
1085,40.646,-1.727
1086,41.048,-1.735
1087,41.442,-1.759
1088,41.834,-1.781
1089,42.224,-1.801
1090,42.619,-1.825
1091,43.023,-1.846
1092,43.419,-1.86
1093,43.809,-1.862
1094,44.201,-1.853
1095,44.599,-1.817
1096,44.982,-1.787
1097,45.381,-1.767
1098,45.764,-1.752
1099,46.154,-1.747
1100,46.543,-1.737
1101,46.926,-1.73
1102,47.319,-1.736
1103,47.714,-1.765
1104,48.107,-1.793
1105,48.501,-1.817
1106,48.899,-1.844
1107,49.297,-1.869
1108,49.704,-1.891
1109,50.089,-1.911
1110,50.484,-1.928
1111,50.876,-1.946
1112,51.27,-1.977
1113,51.666,-2.019
1114,52.06,-2.06
1115,52.451,-2.09
1116,52.848,-2.109
1117,53.245,-2.12
1118,53.642,-2.132
1119,54.035,-2.147
1120,54.434,-2.167
1121,54.831,-2.188
1122,55.226,-2.216
1123,55.621,-2.246
1124,56.017,-2.276
1125,56.412,-2.313
1126,56.803,-2.34
1127,57.2,-2.352
1128,57.596,-2.36
1129,57.991,-2.362
1130,58.386,-2.365
1131,58.778,-2.365
1132,59.17,-2.362
1133,59.565,-2.369
1134,59.961,-2.382
1135,60.359,-2.399
1136,60.754,-2.422
1137,61.146,-2.441
1138,61.544,-2.449
1139,61.94,-2.459
1140,62.335,-2.466
1141,62.73,-2.472
1142,63.126,-2.481
1143,63.522,-2.49
1144,63.919,-2.491
1145,64.315,-2.493
1146,64.713,-2.493
1147,65.11,-2.497
1148,65.505,-2.5
1149,65.903,-2.498
1150,66.302,-2.489
1151,66.7,-2.481
1152,67.1,-2.483
1153,67.492,-2.49
1154,67.891,-2.5
1155,68.281,-2.525
1156,68.678,-2.554
1157,69.069,-2.583
1158,69.465,-2.603
1159,69.862,-2.62
1160,70.258,-2.628
1161,70.655,-2.636
1162,71.047,-2.645
1163,71.443,-2.651
1164,71.822,-2.647
1165,72.216,-2.638
1166,72.61,-2.632
1167,73.005,-2.627
1168,73.406,-2.618
1169,73.805,-2.607
